date_time,magnitude,depth,latitude,longitude,sig,tsunami
12/29/1999 13:29,6.9,33,-10.86,165.354,732,0
1/8/2000 16:47,7.2,183.4,-16.925,-174.248,798,0
1/28/2000 14:21,6.8,61.1,43.046,146.837,711,0
2/6/2000 11:33,6.6,33,-5.844,150.876,670,0
3/3/2000 22:22,6.6,10,-6.817,143.807,670,0
5/4/2000 4:21,7.6,26,-1.105,123.573,889,0
5/12/2000 18:43,7.2,225,-23.548,-66.452,798,0
6/4/2000 16:28,7.9,33,-4.721,102.087,960,0
6/4/2000 16:39,6.7,33,-4.646,102.102,691,0
6/7/2000 23:45,6.7,33,-4.612,101.905,691,0
6/17/2000 15:40,6.5,10,63.966,-20.487,650,0
6/18/2000 14:44,7.9,10,-13.802,97.453,960,0
6/21/2000 0:51,6.5,10,63.98,-20.758,650,0
7/11/2000 1:32,6.5,42.9,57.3546,-154.198,650,0
7/16/2000 3:57,6.6,10,-7.747,150.917,670,0
7/30/2000 12:25,6.5,10,33.901,139.376,650,0
8/3/2000 1:09,6.6,33,-12.037,166.448,670,0
8/4/2000 21:13,6.8,10,48.786,142.246,711,0
8/9/2000 11:41,6.5,45.8,18.198,-102.48,650,0
8/28/2000 15:05,6.8,16,-4.11,127.394,711,0
10/2/2000 2:25,6.5,34,-7.977,30.709,650,0
10/4/2000 16:58,7,23,-15.421,166.91,754,0
10/6/2000 4:30,6.7,10,35.456,133.134,691,0
10/25/2000 9:32,6.8,38,-6.549,105.63,711,0
10/29/2000 8:37,7,50,-4.766,153.945,754,0
11/8/2000 6:59,6.5,17,7.042,-77.829,650,0
11/16/2000 4:54,8,33,-3.98,152.169,985,0
11/16/2000 7:42,7.8,30,-5.233,153.102,936,0
11/16/2000 7:45,6.5,33,-4.827,153.226,650,0
11/17/2000 21:01,7.8,33,-5.496,151.781,936,0
11/18/2000 2:05,6.6,33,-5.097,153.181,670,0
11/18/2000 6:54,6.8,33,-5.228,151.771,711,0
11/25/2000 18:09,6.8,50.4,40.245,49.946,711,0
11/25/2000 18:10,6.5,33,40.167,49.954,650,0
12/6/2000 17:11,7,30,39.566,54.799,754,0
12/6/2000 22:57,6.5,31,-4.218,152.725,650,0
1/1/2001 6:57,7.5,33,6.898,126.579,865,0
1/1/2001 8:54,6.8,33,6.631,126.899,711,0
1/9/2001 16:49,7.1,103,-14.928,167.17,776,0
1/10/2001 16:02,6.9,36.4,56.7744,-153.281,745,0
1/13/2001 17:33,7.7,60,13.049,-88.66,912,0
1/16/2001 13:25,6.9,28,-4.022,101.776,732,0
1/26/2001 3:16,7.7,16,23.419,70.232,912,0
2/13/2001 14:22,6.6,10,13.671,-88.938,670,0
2/13/2001 19:28,7.4,36,-4.68,102.562,842,0
2/24/2001 7:23,7.1,35,1.271,126.249,776,0
2/28/2001 18:54,6.8,51.798,47.149,-122.727,1441,0
3/19/2001 5:52,6.5,33,-4.029,128.02,650,0
3/24/2001 6:27,6.8,50,34.083,132.526,711,0
4/19/2001 21:43,6.7,17,-7.41,155.865,691,0
6/23/2001 20:33,8.4,33,-16.265,-73.641,1086,0
6/26/2001 4:18,6.7,24,-17.745,-71.649,691,0
7/5/2001 13:53,6.6,62,-16.086,-73.987,670,0
7/7/2001 9:38,7.6,33,-17.543,-72.077,889,0
7/26/2001 0:21,6.5,10,39.059,24.244,650,0
7/28/2001 7:32,6.6,131.8,58.775,-154.701,754,0
9/11/2001 14:56,6.5,33,-0.578,133.13,650,0
10/12/2001 15:02,7,37,12.686,144.98,754,0
10/19/2001 3:28,7.5,33,-4.102,123.907,865,0
10/31/2001 9:10,7,33,-5.912,150.196,754,0
11/14/2001 9:26,7.8,10,35.946,90.541,936,0
12/2/2001 13:01,6.5,123.8,39.402,141.089,650,0
12/18/2001 4:02,6.8,14,23.954,122.734,711,0
12/23/2001 22:52,6.8,16,-9.613,159.53,711,0
1/2/2002 17:22,7.2,21,-17.6,167.856,798,0
1/3/2002 10:17,6.6,10,-17.664,168.004,670,0
1/10/2002 11:14,6.7,11,-3.212,142.427,691,0
2/3/2002 7:11,6.5,5,38.573,31.271,650,0
2/5/2002 13:27,6.6,39,-5.345,151.248,670,0
3/3/2002 12:08,7.4,225.6,36.502,70.482,842,0
3/5/2002 21:16,7.5,31,6.033,124.249,865,0
3/28/2002 4:56,6.5,125.1,-21.663,-68.329,650,0
3/31/2002 6:52,7.1,32.8,24.279,122.179,776,0
4/18/2002 5:02,6.8,24.9,16.985,-100.865,711,0
4/18/2002 16:08,6.7,62,-27.535,-70.586,691,0
4/26/2002 16:06,7.1,85.7,13.088,144.619,776,0
6/17/2002 21:26,6.7,33,-12.592,166.383,691,0
6/18/2002 13:56,6.6,54,-30.805,-71.124,670,0
6/22/2002 2:58,6.5,10,35.626,49.047,650,0
7/31/2002 0:16,6.5,10,7.929,-82.793,650,0
8/14/2002 13:57,6.5,30,14.101,146.199,650,0
9/8/2002 18:44,7.6,13,-3.302,142.945,889,0
9/13/2002 22:28,6.5,21,13.036,93.068,650,0
10/10/2002 10:50,7.6,10,-1.757,134.297,889,0
10/10/2002 12:28,6.7,10,-1.511,133.973,691,0
10/23/2002 11:27,6.6,4.2,63.5144,-147.912,670,0
